name,genre,year,duration,rating,director,language
Rabiye Kurnaz vs. George W. Bush,Drama,2022,116,7.1,Andreas Dresen,German
The People vs. Fritz Bauer,Drama,2015,105,7.3,Lars Kraume,German
The Classroom,Drama,2018,119,7.5,Ilker Çatak,German
The Teachers' Lounge,Drama,2023,98,7.8,Ilker Çatak,German
All Quiet on the Western Front,War,2022,148,7.8,Edward Berger,German
The Lost Honor of Katharina Blum,Crime,1975,106,7.7,Volker Schlöndorff,German
The Nasty Girl,Drama,1990,94,7.4,Michael Verhoeven,German
The Last Train,Drama,2006,158,7.3,Joseph Vilsmaier,German
The Experiment,Thriller,2001,119,7.7,Oliver Hirschbiegel,German
The Edukators,Drama,2004,127,7.3,Hans Weingartner,German
The Free Will,Drama,2006,163,7.4,Matthias Glasner,German
This Very Moment,Drama,2003,105,7.0,Matthias Glasner,German
Heil,Drama,2023,121,7.2,Dietrich Brüggemann,German
A Heavy Heart,Drama,2015,91,7.1,Thomas Stuber,German
In the Aisles,Drama,2018,125,7.2,Thomas Stuber,German
The Space Between the Lines,Drama,2019,111,6.8,Vanessa Jopp,German
The Most Beautiful Girl in the World,Comedy,2018,105,6.5,Aron Lehmann,German
The Bloom of Yesterday,Comedy,2016,113,6.7,Chris Kraus,German
The People vs. Fritz Bauer,Drama,2015,105,7.3,Lars Kraume,German
The Silent Revolution,Drama,2018,111,7.4,Lars Kraume,German
The Collini Case,Crime,2019,123,7.2,Marco Kreuzpaintner,German
The Captain,Drama,2017,118,7.7,Robert Schwentke,German
Berlin Syndrome,Thriller,2017,116,6.3,Cate Shortland,German
Wetlands,Comedy,2013,109,5.8,David Wnendt,German
Kriegerin,Drama,2011,103,6.8,David Wnendt,German
Look Who's Back,Comedy,2015,116,6.8,David Wnendt,German
The Kangaroo Chronicles,Comedy,2020,130,6.3,Julius Schmitt,German
The Robber,Drama,2010,101,6.6,Benjamin Heisenberg,German
Sleeper,Thriller,2005,85,6.5,Benjamin Heisenberg,German
The Forest for the Trees,Drama,2003,81,7.0,Maren Ade,German
Everyone Else,Drama,2009,119,7.1,Maren Ade,German
Toni Erdmann,Comedy,2016,162,7.3,Maren Ade,German
Free Fall,Drama,2013,100,7.4,Stephan Lacant,German
Center of My World,Drama,2016,115,7.0,Jakob M. Erwa,German
The Dreamed Path,Drama,2016,86,6.3,Angela Schanelec,German
I Was at Home, But,Drama,2019,105,6.5,Angela Schanelec,German
Marlene,Drama,2000,135,6.8,Joseph Vilsmaier,German
The Ninth Day,Drama,2004,98,7.4,Volker Schlöndorff,German
The Legend of Rita,Drama,2000,103,7.2,Volker Schlöndorff,German
The Blind Spot,Drama,2021,128,7.3,Claudia Lehmann,German
Curveball,Comedy,2020,116,6.5,Johannes Naber,German
The Last Word,Drama,2022,109,7.0,Alexandra Senfft,German
The Ordinaries,Drama,2022,115,6.9,Sören Hüper,German
Sunjuta,Drama,2023,98,7.1,Simon Jaquemet,German
Black Ice,Thriller,2023,95,6.9,Michael Krummenacher,German
The Theory of Everything,Documentary,2022,105,7.4,Timm Kröger,German
The Fox,Drama,2022,115,7.0,Adrian Goiginger,German
The Magic Mountain,Drama,2022,132,6.8,Anca Miruna Lăzărescu,German
Roh,Drama,2023,108,7.2,Isabell Šuba,German
The School of Magical Animals,Family,2021,93,6.1,Gregor Schnitzler,German
The Robber Hotzenplotz,Family,2022,105,6.4,Michał Rogalski,German
Checkered Ninja,Animation,2018,85,6.7,Anders Matthesen,German
Latte & the Magic Waterstone,Animation,2019,79,6.2,Regina Welker,German
The Amazing Maurice,Animation,2022,93,6.5,Toby Genkel,German
The Canterville Ghost,Family,2023,95,6.4,Kim Burdon,German
The Last Whale Hunter,Adventure,2022,105,6.6,Bernhard Pucher,German
The Dive,Thriller,2023,91,6.4,Maximilian Erlenwein,German
The Forger,Thriller,2022,116,6.8,Maggie Peren,German
The Seed,Science Fiction,2021,103,5.9,Mia Maariel Meyer,German
Blood Red Sky,Horror,2021,121,6.1,Peter Thorwarth,German
Nightmare,Horror,2015,96,5.8,Achim Bornhak,German
Happiness,Horror,2016,95,5.9,Sven Taddicken,German
The Dark,Horror,2016,95,5.5,Justin P. Lange,German
Luz,Horror,2018,70,5.8,Tilman Singer,German
The Uncanny,Horror,2015,128,6.2,Richard Raaphorst,German
Stigma,Horror,2022,98,5.9,Thomas Roth,German
The Black Forest,Horror,2023,102,5.7,Tommy Krappweis,German
School of Fear,Horror,2023,95,5.8,Thorsten Wettcke,German
The Moor,Horror,2023,89,5.6,Chris Cronin,German
The Great Beauty,Drama,2013,142,7.7,Paolo Sorrentino,Italian
La Dolce Vita,Drama,1960,174,8.0,Federico Fellini,Italian
8½,Drama,1963,138,8.0,Federico Fellini,Italian
Cinema Paradiso,Drama,1988,155,8.5,Giuseppe Tornatore,Italian
Life Is Beautiful,Comedy,1997,116,8.6,Roberto Benigni,Italian
Bicycle Thieves,Drama,1948,89,8.3,Vittorio De Sica,Italian
The Conformist,Drama,1970,113,8.0,Bernardo Bertolucci,Italian
The Last Emperor,History,1987,163,7.7,Bernardo Bertolucci,Italian
The Leopard,History,1963,186,8.0,Luchino Visconti,Italian
Rocco and His Brothers,Drama,1960,177,8.1,Luchino Visconti,Italian
Suspiria,Horror,1977,98,7.4,Dario Argento,Italian
Deep Red,Horror,1975,126,7.6,Dario Argento,Italian
The Bird with the Crystal Plumage,Thriller,1970,96,7.6,Dario Argento,Italian
The Good, the Bad and the Ugly,Western,1966,178,8.8,Sergio Leone,Italian
Once Upon a Time in the West,Western,1968,165,8.5,Sergio Leone,Italian
A Fistful of Dollars,Western,1964,99,8.0,Sergio Leone,Italian
For a Few Dollars More,Western,1965,132,8.2,Sergio Leone,Italian
Once Upon a Time in America,Crime,1984,229,8.4,Sergio Leone,Italian
The Great Silence,Western,1968,105,7.6,Sergio Corbucci,Italian
Divorce Italian Style,Comedy,1961,104,8.1,Pietro Germi,Italian
Seduced and Abandoned,Comedy,1964,118,7.9,Pietro Germi,Italian
Investigation of a Citizen Above Suspicion,Crime,1970,112,8.0,Elio Petri,Italian
The Working Class Goes to Heaven,Drama,1971,125,7.8,Elio Petri,Italian
We All Loved Each Other So Much,Comedy,1974,124,8.2,Ettore Scola,Italian
A Special Day,Drama,1977,106,8.0,Ettore Scola,Italian
The Garden of the Finzi-Continis,Drama,1970,94,7.7,Vittorio De Sica,Italian
Umberto D.,Drama,1952,89,8.2,Vittorio De Sica,Italian
Miracle in Milan,Fantasy,1951,100,7.9,Vittorio De Sica,Italian
La Strada,Drama,1954,108,8.1,Federico Fellini,Italian
Nights of Cabiria,Drama,1957,110,8.1,Federico Fellini,Italian
Amarcord,Drama,1973,123,8.0,Federico Fellini,Italian
I Vitelloni,Drama,1953,109,7.8,Federico Fellini,Italian
Juliet of the Spirits,Fantasy,1965,137,7.7,Federico Fellini,Italian
The Night,Drama,1961,122,8.1,Michelangelo Antonioni,Italian
L'Avventura,Drama,1960,144,7.9,Michelangelo Antonioni,Italian
Red Desert,Drama,1964,117,7.7,Michelangelo Antonioni,Italian
Blow-Up,Thriller,1966,111,7.6,Michelangelo Antonioni,Italian
The Passenger,Drama,1975,126,7.6,Michelangelo Antonioni,Italian
Accattone,Drama,1961,120,7.7,Pier Paolo Pasolini,Italian
The Gospel According to St. Matthew,History,1964,137,7.7,Pier Paolo Pasolini,Italian
Hawks and Sparrows,Comedy,1966,88,7.4,Pier Paolo Pasolini,Italian
Teorema,Drama,1968,98,7.4,Pier Paolo Pasolini,Italian
Salo, or the 120 Days of Sodom,Drama,1975,117,6.0,Pier Paolo Pasolini,Italian
The Tree of Wooden Clogs,Drama,1978,186,8.1,Ermanno Olmi,Italian
Il Postino,Drama,1994,108,7.7,Michael Radford,Italian
The Best of Youth,Drama,2003,366,8.5,Marco Tullio Giordana,Italian
The Unknown Woman,Thriller,2006,118,7.5,Giuseppe Tornatore,Italian
Malèna,Drama,2000,109,7.4,Giuseppe Tornatore,Italian
Everybody's Fine,Drama,1990,118,7.6,Giuseppe Tornatore,Italian
The Star Maker,Drama,1995,113,7.3,Giuseppe Tornatore,Italian
The Consequences of Love,Drama,2004,100,7.4,Paolo Sorrentino,Italian
The Family Friend,Drama,2006,102,6.8,Paolo Sorrentino,Italian
Il Divo,Drama,2008,110,7.3,Paolo Sorrentino,Italian
This Must Be the Place,Drama,2011,118,6.5,Paolo Sorrentino,Italian
Youth,Drama,2015,124,7.3,Paolo Sorrentino,Italian
Loro,Drama,2018,150,6.3,Paolo Sorrentino,Italian
The Hand of God,Drama,2021,130,7.4,Paolo Sorrentino,Italian
Gomorrah,Crime,2008,137,7.1,Matteo Garrone,Italian
Reality,Drama,2012,116,7.2,Matteo Garrone,Italian
Tale of Tales,Fantasy,2015,134,6.4,Matteo Garrone,Italian
Dogman,Crime,2018,103,7.2,Matteo Garrone,Italian
Pinocchio,Fantasy,2019,125,6.2,Matteo Garrone,Italian
Io Capitano,Drama,2023,121,7.7,Matteo Garrone,Italian
The Great Mother,Drama,2023,118,6.8,Giovanni Veronesi,Italian
Perfect Strangers,Comedy,2016,97,7.7,Paolo Genovese,Italian
The Place,Drama,2017,105,7.2,Paolo Genovese,Italian
The Invisible Witness,Thriller,2018,102,7.6,Stefano Mordini,Italian
The Traitor,Crime,2019,145,7.3,Marco Bellocchio,Italian
Vincere,Drama,2009,128,7.2,Marco Bellocchio,Italian
My Mother's Smile,Drama,2002,105,7.0,Marco Bellocchio,Italian
The Wedding Director,Comedy,2006,98,6.1,Marco Bellocchio,Italian
Devil in the Flesh,Drama,1986,110,6.3,Marco Bellocchio,Italian
The Eyes, the Mouth,Drama,1982,100,7.1,Marco Bellocchio,Italian
The Witches,Drama,1967,110,7.2,Franco Rossi,Italian
The Night of the Shooting Stars,Drama,1982,106,7.9,Paolo Taviani,Italian
Padre Padrone,Drama,1977,114,7.6,Paolo Taviani,Italian
The Meadow,Drama,1979,120,7.3,Paolo Taviani,Italian
Night Sun,Drama,1990,112,7.0,Paolo Taviani,Italian
Caesar Must Die,Drama,2012,76,7.3,Paolo Taviani,Italian
Rainbow: A Private Affair,War,2017,100,5.4,Paolo Taviani,Italian
The First King: Birth of an Empire,History,2019,127,5.9,Matteo Rovere,Italian
Diabolik,Action,2021,133,6.1,Manetti Bros.,Italian
The Best Years,Drama,2020,118,7.4,Gabriele Muccino,Italian
The Last Kiss,Comedy,2001,115,7.2,Gabriele Muccino,Italian
Remember Me,Drama,2003,125,7.1,Gabriele Muccino,Italian
There's No Place Like Home,Comedy,2010,120,6.5,Gabriele Muccino,Italian
But Forever in My Mind,Drama,2018,95,6.9,Gabriele Muccino,Italian
The Ignorant Angels,Drama,2022,130,6.8,Ferzan Özpetek,Italian
His Secret Life,Drama,2001,106,7.2,Ferzan Özpetek,Italian
Facing Windows,Drama,2003,106,7.5,Ferzan Özpetek,Italian
Saturn in Opposition,Drama,2007,113,7.1,Ferzan Özpetek,Italian
A Perfect Day,Drama,2008,105,6.9,Ferzan Özpetek,Italian
Mine Vaganti,Comedy,2010,110,7.2,Ferzan Özpetek,Italian
Fasten Your Seatbelts,Comedy,2014,110,6.4,Ferzan Özpetek,Italian
Naples in Veils,Thriller,2017,113,5.9,Ferzan Özpetek,Italian
The Goddess of Fortune,Comedy,2019,118,6.3,Ferzan Özpetek,Italian
The Last Paradiso,Drama,2021,110,6.5,Rocco Ricciardulli,Italian
The Predators,Crime,2020,102,6.2,Pietro Castellitto,Italian
The Catholic School,Drama,2021,120,5.8,Stefano Mordini,Italian
The Hummingbird,Drama,2022,124,7.1,Francesca Archibugi,Italian
Dry,Drama,2022,115,7.3,Paolo Virzì,Italian
The Leisure Seeker,Drama,2017,112,7.0,Paolo Virzì,Italian
Human Capital,Drama,2013,111,7.3,Paolo Virzì,Italian
The First Beautiful Thing,Comedy,2010,122,7.4,Paolo Virzì,Italian
Like a Cat on a Highway,Comedy,2023,100,6.7,Riccardo Milani,Italian
Welcome Mr. President!,Comedy,2013,98,6.8,Riccardo Milani,Italian
I Can Quit Whenever I Want,Comedy,2014,100,6.9,Sydney Sibilia,Italian
I Can Quit Whenever I Want 2,Comedy,2015,110,6.7,Sydney Sibilia,Italian
I Can Quit Whenever I Want 3,Comedy,2017,118,6.5,Sydney Sibilia,Italian
Smartphone,Comedy,2022,105,5.9,Alessandro Genovesi,Italian
The Christmas Show,Comedy,2022,120,5.8,Aldo, Giovanni & Giacomo,Italian
The Worst Christmas of My Life,Comedy,2012,90,6.4,Alessandro Genovesi,Italian
A Haunting in Venice,Thriller,2023,103,6.5,Kenneth Branagh,Italian
The White Sheik,Comedy,1952,86,7.4,Federico Fellini,Italian
The Swindle,Comedy,1955,106,7.3,Federico Fellini,Italian
Nights of Cabiria,Drama,1957,110,8.1,Federico Fellini,Italian
La Dolce Vita,Drama,1960,174,8.0,Federico Fellini,Italian
8½,Drama,1963,138,8.0,Federico Fellini,Italian
Juliet of the Spirits,Fantasy,1965,137,7.7,Federico Fellini,Italian
Satyricon,Fantasy,1969,129,6.8,Federico Fellini,Italian
Roma,Drama,1972,128,7.2,Federico Fellini,Italian
Amarcord,Drama,1973,123,8.0,Federico Fellini,Italian
And the Ship Sails On,Comedy,1983,138,7.3,Federico Fellini,Italian
Ginger and Fred,Comedy,1986,126,6.8,Federico Fellini,Italian
Intervista,Comedy,1987,105,7.1,Federico Fellini,Italian
The Voice of the Moon,Comedy,1990,120,6.6,Federico Fellini,Italian
Boccaccio '70,Comedy,1962,150,6.9,Federico Fellini,Italian
Spirits of the Dead,Horror,1968,121,6.5,Federico Fellini,Italian
The Clowns,Documentary,1970,92,7.1,Federico Fellini,Italian
Fellini's Casanova,Drama,1976,155,6.8,Federico Fellini,Italian
Orchestra Rehearsal,Comedy,1978,72,7.0,Federico Fellini,Italian
City of Women,Comedy,1980,140,6.8,Federico Fellini,Italian
And the Ship Sails On,Comedy,1983,138,7.3,Federico Fellini,Italian
Ginger and Fred,Comedy,1986,126,6.8,Federico Fellini,Italian
Intervista,Comedy,1987,105,7.1,Federico Fellini,Italian
The Voice of the Moon,Comedy,1990,120,6.6,Federico Fellini,Italian
The Intouchables,Comedy,2011,112,8.5,Olivier Nakache,French
Amélie,Comedy,2001,122,8.3,Jean-Pierre Jeunet,French
La Haine,Drama,1995,98,8.1,Mathieu Kassovitz,French
The Artist,Comedy,2011,100,7.9,Michel Hazanavicius,French
Blue Is the Warmest Colour,Drama,2013,180,7.7,Abdellatif Kechiche,French
A Prophet,Crime,2009,155,7.8,Jacques Audiard,French
The Beat That My Heart Skipped,Drama,2005,107,7.3,Jacques Audiard,French
Rust and Bone,Drama,2012,120,7.5,Jacques Audiard,French
Dheepan,Drama,2015,115,7.0,Jacques Audiard,French
The Sisters Brothers,Western,2018,121,6.8,Jacques Audiard,French
Breathless,Drama,1960,90,7.8,Jean-Luc Godard,French
Contempt,Drama,1963,103,7.6,Jean-Luc Godard,French
Pierrot le Fou,Crime,1965,110,7.6,Jean-Luc Godard,French
Band of Outsiders,Drama,1964,97,7.7,Jean-Luc Godard,French
The 400 Blows,Drama,1959,99,8.1,François Truffaut,French
Jules and Jim,Drama,1962,105,7.8,François Truffaut,French
Day for Night,Drama,1973,116,8.0,François Truffaut,French
The Last Metro,Drama,1980,131,7.5,François Truffaut,French
Stolen Kisses,Comedy,1968,90,7.5,François Truffaut,French
The Umbrellas of Cherbourg,Musical,1964,91,7.8,Jacques Demy,French
The Young Girls of Rochefort,Musical,1967,120,7.8,Jacques Demy,French
Diabolique,Thriller,1955,117,8.1,Henri-Georges Clouzot,French
The Wages of Fear,Thriller,1953,131,8.2,Henri-Georges Clouzot,French
Le Samouraï,Crime,1967,105,8.0,Jean-Pierre Melville,French
Army of Shadows,War,1969,145,8.1,Jean-Pierre Melville,French
Le Cercle Rouge,Crime,1970,140,7.9,Jean-Pierre Melville,French
Bob le Flambeur,Crime,1956,102,7.5,Jean-Pierre Melville,French
The Discreet Charm of the Bourgeoisie,Comedy,1972,102,7.9,Luis Buñuel,French
Belle de Jour,Drama,1967,100,7.7,Luis Buñuel,French
That Obscure Object of Desire,Drama,1977,103,7.7,Luis Buñuel,French
The Rules of the Game,Comedy,1939,110,7.9,Jean Renoir,French
Grand Illusion,War,1937,113,8.1,Jean Renoir,French
La Bête Humaine,Drama,1938,100,7.5,Jean Renoir,French
The Crime of Monsieur Lange,Comedy,1936,80,7.6,Jean Renoir,French
Children of Paradise,Drama,1945,190,8.3,Marcel Carné,French
Port of Shadows,Drama,1938,91,7.8,Marcel Carné,French
Le Jour Se Lève,Drama,1939,93,7.8,Marcel Carné,French
Eyes Without a Face,Horror,1960,90,7.7,Georges Franju,French
Judex,Crime,1963,97,7.1,Georges Franju,French
La Jetée,Science Fiction,1962,28,8.2,Chris Marker,French
Sans Soleil,Documentary,1983,100,8.1,Chris Marker,French
The Red Circle,Crime,1970,140,7.9,Jean-Pierre Melville,French
Un Prophète,Crime,2009,155,7.8,Jacques Audiard,French
The Class,Drama,2008,128,7.5,Laurent Cantet,French
Time Out,Drama,2001,134,7.2,Laurent Cantet,French
Heading South,Drama,2005,108,6.7,Laurent Cantet,French
Foxfire,Drama,2012,143,6.4,Laurent Cantet,French
The Measure of a Man,Drama,2015,93,7.4,Stéphane Brizé,French
Mademoiselle Chambon,Drama,2009,101,7.1,Stéphane Brizé,French
A Few Hours of Spring,Drama,2012,85,7.3,Stéphane Brizé,French
At War,Drama,2018,114,7.1,Stéphane Brizé,French
Another World,Drama,2021,117,6.9,Stéphane Brizé,French
Polisse,Drama,2011,127,7.2,Maïwenn,French
Mon Roi,Drama,2015,128,6.8,Maïwenn,French
DNA,Drama,2020,90,6.2,Maïwenn,French
La Vie en Rose,Music,2007,140,7.6,Olivier Dahan,French
Grace of Monaco,Drama,2014,103,5.8,Olivier Dahan,French
The Translators,Thriller,2019,105,6.8,Régis Roinsard,French
The Connection,Crime,2014,135,7.1,Cédric Jimenez,French
The Man with the Iron Heart,War,2017,120,6.4,Cédric Jimenez,French
BAC Nord,Crime,2021,105,6.7,Cédric Jimenez,French
November,Thriller,2022,100,6.5,Cédric Jimenez,French
Caché,Thriller,2005,117,7.3,Michael Haneke,French
The Piano Teacher,Drama,2001,131,7.5,Michael Haneke,French
Code Unknown,Drama,2000,118,7.2,Michael Haneke,French
Time of the Wolf,Drama,2003,114,6.9,Michael Haneke,French
Happy End,Drama,2017,107,6.7,Michael Haneke,French
Delicatessen,Comedy,1991,99,7.6,Jean-Pierre Jeunet,French
The City of Lost Children,Fantasy,1995,112,7.6,Jean-Pierre Jeunet,French
A Very Long Engagement,War,2004,133,7.6,Jean-Pierre Jeunet,French
Micmacs,Comedy,2009,104,6.9,Jean-Pierre Jeunet,French
Raw,Horror,2016,99,7.0,Julia Ducournau,French
Titane,Science Fiction,2021,108,6.5,Julia Ducournau,French
Martyrs,Horror,2008,99,7.1,Pascal Laugier,French
Inside,Horror,2007,82,6.7,Julien Maury,French
High Tension,Horror,2003,91,6.8,Alexandre Aja,French
Frontier(s),Horror,2007,108,6.6,Xavier Gens,French
Them,Horror,2006,77,6.4,David Moreau,French
Irreversible,Thriller,2002,97,7.4,Gaspar Noé,French
Enter the Void,Drama,2009,161,7.2,Gaspar Noé,French
Love,Drama,2015,135,6.0,Gaspar Noé,French
Climax,Drama,2018,97,7.0,Gaspar Noé,French
Vortex,Drama,2021,142,7.2,Gaspar Noé,French
Holy Motors,Fantasy,2012,115,7.1,Leos Carax,French
The Lovers on the Bridge,Drama,1991,125,7.6,Leos Carax,French
Bad Blood,Science Fiction,1986,116,7.2,Leos Carax,French
Annette,Musical,2021,141,6.3,Leos Carax,French
Three Colors: Blue,Drama,1993,98,7.9,Krzysztof Kieślowski,French
Three Colors: White,Comedy,1994,91,7.7,Krzysztof Kieślowski,French
Three Colors: Red,Drama,1994,99,8.1,Krzysztof Kieślowski,French
The Double Life of Véronique,Drama,1991,98,7.7,Krzysztof Kieślowski,French
Couscous,Drama,2007,151,7.3,Abdellatif Kechiche,French
Black Venus,Drama,2010,159,6.5,Abdellatif Kechiche,French
The Spanish Apartment,Comedy,2002,122,7.2,Cédric Klapisch,French
Russian Dolls,Comedy,2005,125,6.7,Cédric Klapisch,French
Chinese Puzzle,Comedy,2013,117,6.5,Cédric Klapisch,French
Back to Burgundy,Drama,2017,97,6.8,Cédric Klapisch,French
Someone, Somewhere,Drama,2019,108,6.9,Cédric Klapisch,French
The Taste of Others,Comedy,2000,112,7.2,Agnès Jaoui,French
Look at Me,Comedy,2004,110,7.0,Agnès Jaoui,French
Let It Rain,Comedy,2008,104,6.2,Agnès Jaoui,French
Au Revoir Les Enfants,War,1987,104,8.0,Louis Malle,French
Lacombe, Lucien,Drama,1974,137,7.7,Louis Malle,French
Murmur of the Heart,Drama,1971,118,7.7,Louis Malle,French
Elevator to the Gallows,Thriller,1958,92,7.9,Louis Malle,French
The Fire Within,Drama,1963,108,7.8,Louis Malle,French
Zazie dans le Métro,Comedy,1960,89,7.1,Louis Malle,French
Atlantic City,Drama,1980,104,7.6,Louis Malle,French
My Night at Maud's,Drama,1969,110,7.9,Éric Rohmer,French
Claire's Knee,Drama,1970,105,7.6,Éric Rohmer,French
Chloe in the Afternoon,Drama,1972,97,7.5,Éric Rohmer,French
The Green Ray,Drama,1986,98,7.7,Éric Rohmer,French
Pauline at the Beach,Comedy,1983,94,7.4,Éric Rohmer,French
Full Moon in Paris,Drama,1984,102,7.2,Éric Rohmer,French
Boyfriends and Girlfriends,Drama,1987,103,7.3,Éric Rohmer,French
A Tale of Springtime,Drama,1990,112,7.3,Éric Rohmer,French
A Tale of Winter,Drama,1992,114,7.5,Éric Rohmer,French
Rendezvous in Paris,Drama,1995,100,7.4,Éric Rohmer,French
The Lady and the Duke,Drama,2001,129,6.8,Éric Rohmer,French
Triple Agent,Thriller,2004,115,6.7,Éric Rohmer,French
The Romance of Astrea and Celadon,Drama,2007,109,6.5,Éric Rohmer,French
The Last Mistress,Drama,2007,114,6.3,Catherine Breillat,French
Fat Girl,Drama,2001,86,6.7,Catherine Breillat,French
Anatomy of Hell,Drama,2004,77,5.0,Catherine Breillat,French
Bluebeard,Drama,2009,80,6.2,Catherine Breillat,French
The Beautiful Person,Drama,2008,100,6.5,Christophe Honoré,French
Love Songs,Musical,2007,100,6.8,Christophe Honoré,French
Sorry Angel,Drama,2018,132,7.0,Christophe Honoré,French
On a Magical Night,Comedy,2019,100,6.4,Christophe Honoré,French
Guermantes,Drama,2021,105,6.2,Christophe Honoré,French
The Dreamlife of Angels,Drama,1998,113,7.6,Erick Zonca,French
Little Joe,Drama,2022,98,6.8,Stéphane Demoustier,French
The Stronghold,Crime,2021,115,6.9,Cédric Jimenez,French
Lost Illusions,Drama,2021,149,7.0,Xavier Giannoli,French
The Accusation,Drama,2021,122,7.1,Yvan Attal,French
The Origin of Evil,Thriller,2022,120,6.8,Sébastien Marnier,French
Final Cut,Comedy,2022,110,6.5,Michel Hazanavicius,French
November,Thriller,2022,100,6.5,Cédric Jimenez,French
The Night of the 12th,Thriller,2022,115,7.3,Dominik Moll,French
The Innocent,Comedy,2022,99,7.2,Louis Garrel,French
Don Juan,Musical,2022,102,6.1,Serge Bozon,French
Pacifiction,Thriller,2022,165,6.7,Albert Serra,French
One Fine Morning,Drama,2022,112,7.1,Mia Hansen-Løve,French
Return to Seoul,Drama,2022,119,7.1,Davy Chou,French
The Beasts,Thriller,2022,137,7.6,Rodrigo Sorogoyen,French
Saint Omer,Drama,2022,122,7.3,Alice Diop,French
Other People's Children,Drama,2022,104,7.2,Rebecca Zlotowski,French
Full Time,Drama,2021,88,7.4,Éric Gravel,French
The Gravity,Drama,2021,90,6.9,Maxime Giroux,French
Between Two Worlds,Drama,2021,106,7.0,Emmanuel Carrère,French
The Passengers of the Night,Drama,2022,111,6.9,Mikhaël Hers,French
The Sixth Child,Drama,2022,95,6.8,Léopold Legrand,French
The Worst Ones,Drama,2022,99,6.9,Lise Akoka,French
The Sitting Duck,Drama,2022,119,6.7,Jean-Paul Salomé,French
Rise,Drama,2022,119,6.8,Cédric Klapisch,French
Mrs. Harris Goes to Paris,Comedy,2022,115,7.1,Anthony Fabian,French
Corsage,Drama,2022,113,6.8,Marie Kreutzer,French
The Eight Mountains,Drama,2022,147,7.7,Felix van Groeningen,French
Close,Drama,2022,105,7.8,Lukas Dhont,French
Anatomy of a Fall,Drama,2023,152,7.9,Justine Triet,French
The Pot-au-Feu,Drama,2023,134,7.6,Trần Anh Hùng,French
The Book of Solutions,Comedy,2023,102,6.4,Michel Gondry,French
The Goldman Case,Crime,2023,115,7.3,Cédric Kahn,French
City of God,Crime,2002,130,8.6,Fernando Meirelles,Portuguese
Central Station,Drama,1998,110,8.0,Walter Salles,Portuguese
Elite Squad,Action,2007,115,8.0,José Padilha,Portuguese
Elite Squad 2,Action,2010,115,8.1,José Padilha,Portuguese
The Second Mother,Comedy,2015,112,7.7,Anna Muylaert,Portuguese
Neighboring Sounds,Thriller,2012,131,7.3,Kleber Mendonça Filho,Portuguese
Aquarius,Drama,2016,142,7.4,Kleber Mendonça Filho,Portuguese
Bacurau,Thriller,2019,131,7.4,Kleber Mendonça Filho,Portuguese
The Man Who Copied,Comedy,2003,124,7.7,Jorge Furtado,Portuguese
The Year My Parents Went on Vacation,Drama,2006,104,7.5,Cao Hamburger,Portuguese
Behind the Sun,Drama,2001,105,7.6,Walter Salles,Portuguese
Foreign Land,Drama,1995,100,7.6,Walter Salles,Portuguese
Linha de Passe,Drama,2008,113,7.2,Walter Salles,Portuguese
The Motorcycle Diaries,Drama,2004,126,7.7,Walter Salles,Portuguese
Dark River,Drama,2011,105,7.0,Cao Hamburger,Portuguese
The Trespasser,Drama,2002,95,7.1,Beto Brant,Portuguese
I Travel Because I Have to, I Come Back Because I Love You,Drama,2009,75,7.2,Karim Aïnouz,Portuguese
Madame Satã,Drama,2002,95,7.3,Karim Aïnouz,Portuguese
The Invisible Life,Drama,2019,139,8.1,Karim Aïnouz,Portuguese
Futuro Beach,Drama,2014,106,6.7,Karim Aïnouz,Portuguese
The Silver Cliff,Drama,2023,125,7.0,Karim Aïnouz,Portuguese
Brainstorm,Thriller,2001,95,7.1,Laís Bodanzky,Portuguese
The Best Things in the World,Drama,2010,105,7.3,Laís Bodanzky,Portuguese
Just Like Our Parents,Drama,2017,102,7.1,Laís Bodanzky,Portuguese
The Police Officer's Wife,Drama,2022,115,6.9,Laís Bodanzky,Portuguese
House of Sand,Drama,2005,115,7.2,Andrucha Waddington,Portuguese
Me You Them,Comedy,2000,95,7.4,Andrucha Waddington,Portuguese
The Man of the Year,Comedy,2003,105,6.9,José Henrique Fonseca,Portuguese
The Dognapper,Comedy,2023,110,6.8,José Henrique Fonseca,Portuguese
Castelo & Rá-Tim-Bum,Family,2023,105,7.1,Cao Hamburger,Portuguese
The Last Station,Drama,2016,95,7.0,Diego Freitas,Portuguese
Good Manners,Horror,2017,135,7.1,Juliana Rojas,Portuguese
Hard Labor,Drama,2011,102,7.0,Juliana Rojas,Portuguese
The Fever,Drama,2019,98,6.9,Maya Da-Rin,Portuguese
A Wolf at the Door,Thriller,2013,100,7.4,Fernando Coimbra,Portuguese
The Dead and the Others,Drama,2018,118,7.1,João Salaviza,Portuguese
Rafa,Drama,2012,95,7.0,João Salaviza,Portuguese
Montanha,Drama,2015,95,6.9,João Salaviza,Portuguese
The Nothing Factory,Drama,2017,177,7.2,Pedro Pinho,Portuguese
The Portuguese Woman,Drama,2018,115,6.8,Rita Azevedo Gomes,Portuguese
A Woman's Revenge,Drama,2012,135,7.0,Rita Azevedo Gomes,Portuguese
The Forest of the Lost,Drama,2021,105,6.7,Rodrigo Areias,Portuguese
The Domain,Drama,2019,175,7.3,Tiago Guedes,Portuguese
